Brand,Covid,2021/1/1,2021/2/1,2021/3/1,2021/4/1,2021/5/1,2021/6/1,2021/7/1,2021/8/1,2021/9/1,Now,Logo
Ford,73985,134836,154170,203265,186595,152377,109773,114680,118189,147737,147737,./svg_logo/Ford.svg
Toyota,62563,146591,161625,208801,200491,202009,170609,158731,152073,122495,122495,./svg_logo/Toyota .svg
Chevrolet,59471,136632,173575,153706,145729,140125,145729,96612,93033,96612,96612,./svg_logo/Chevrolet.svg
Jeep,31808,63214,63214,71116,71057,68325,71057,62962,60629,63094,63094,./svg_logo/Jeep.svg
Tesla,6624,21120,21120,23760,24751,23799,24751,28350,27301,28350,28350,./svg_logo/Tesla.svg
BMW,9171,22858,22905,25717,32604,31353,32604,25522,24576,25522,25522,./svg_logo/BWM.svg
Benz,12112,28774,28890,32368,31213,30015,31213,24022,23135,24025,24025,./svg_logo/Benz.svg
Audi,6270,17461,17461,19646,22315,21455,22314,13841,13328,13841,13841,./svg_logo/Audi.svg
Porsche,2195,5558,5558,6253,6400,6155,6400,5160,4969,5160,5160,./svg_logo/Porsche.svg
